INDEX;A_TOTAL_AMT_DELQ_1;A_TOTAL_BALANCES;A_TOTAL_NBR_ACCTS;MARITAL_STATUS_1;MARITAL_STATUS_2;MARITAL_STATUS_3;MARITAL_STATUS_4;RENT_BUY_CODE_1;RENT_BUY_CODE_2;RENT_BUY_CODE_3;RENT_BUY_CODE_4;CURR_RES_MTHS;PREV_RES_MTHS;OCCN_CODE;CURR_EMPL_MTHS;PREV_EMPL_MTHS;CHQ_ACCT_IND_1;CHQ_ACCT_IND_2;CHQ_ACCT_IND_3;SAV_ACCT_IND_1;SAV_ACCT_IND_2;SAV_ACCT_IND_3;TOTAL_NBR_CREDIT_CARDS;NBR_OF_DEPENDANTS;AMEX_CARD_1;DINERS_CARD_1;VISA_CARD_1;MASTERCARD_1;RETAIL_CARDS_1;B_ENQ_LAST_WEEK;B_ENQ_L1M;B_ENQ_L3M;B_ENQ_L6M_GR1;B_ENQ_L6M_GR2;B_ENQ_L6M_GR3;B_ENQ_L12M_GR1;B_ENQ_L12M_GR2;B_ENQ_L12M_GR3;B_DEF_PAID_L12M;B_ENQ_L6M;B_DEF_PAID_IND_1;B_DEF_UNPD_IND_1;A_DISTRICT_APPLICANT;DVR_LIC;CREDIT_CARD_TYPE_1;AGE_AT_APPLICATION;TARGET_FLAG_1
560;0;0;0;1;0;1;0;1;1;0;0;0.056650246;0.022727273;0;0.022222222;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0.5;0.75;0;0;1;0;0.2;0.6;0;0.428571429;0;0;0.5;1;0;0.255319149;1
629;0;0;0.5;1;0;0;1;1;1;0;0;0.086206897;0;0;0.175;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166666667;1;0;0.276595745;1
664;0;0;0;1;1;0;0;1;0;0;1;0.088669951;0.003787879;0;0.033333333;0;1;0;0;1;0;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.142857143;0;0;0.333333333;1;0;0.191489362;1
730;0;0;0;1;0;1;0;1;0;1;0;0.233990148;0;0;0.2;0;1;0;0;1;0;0;0;0.25;0;0;0;0;0;0;0.5;0.25;0;0;1;0;0;0.6;0;0.428571429;0;0;0.5;1;0;0.468085106;1
740;0;0;0;1;0;0;1;1;1;0;0;0.204433498;0;0.833333333;0.133333333;1;0;1;0;1;0;0;0.5;0.25;1;1;1;1;1;0.25;0.5;0.25;0;0;0;0;0;0;0;0.142857143;0;0;0.333333333;1;1;0.489361702;1
757;0;0;0;1;1;0;0;1;1;0;0;0;0.318181818;0.277777778;0.083333333;0.745098039;1;0;0;1;0;0;1;0;1;1;1;1;1;0;0;0.75;0.333333333;0;0.666666667;0.25;0;0.4;0;0.428571429;0;0;0.166666667;1;1;0.425531915;1
799;0;0;0;1;0;0;1;1;1;0;0;0;0.049242424;0;0.219444444;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0.666666667;0;0;0.4;0;0.285714286;0;0;0.5;1;0;0.170212766;1
937;0;0;0;1;1;0;0;1;1;0;0;0.293103448;0;0;0.333333333;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0.166666667;1;0;0.638297872;1
1038;0;0;0;1;0;0;1;1;1;0;0;0;0.045454545;0;0.033333333;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.666666667;0;0;0.4;0;0.285714286;0;0;0.333333333;1;0;0.106382979;1
1138;0;0;0;1;0;1;0;1;0;1;0;0.004926108;0.318181818;0;0.580555556;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.25;0.333333333;0;0;0.5;0.4;0;0;0.142857143;0;0;0.5;1;0;0.446808511;1
1292;0;0;0;1;0;0;1;0;1;0;1;0.588669951;0;0;0.066666667;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0.6;0;0.571428571;0;0;0.333333333;1;0;0.14893617;1
1368;0;0;0;1;0;1;0;1;1;0;0;0.204433498;0;0;0.233333333;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0.5;0;0;0.666666667;0;0;0.4;0;0.285714286;0;0;0.666666667;1;0;0.276595745;1
1388;0;0;0;1;1;0;0;1;0;0;1;0.115763547;0;0;0.366666667;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166666667;1;0;0.489361702;1
1440;0;0;0;1;0;0;1;1;0;1;0;0.100985222;0;0;0;0;1;0;0;1;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.666666667;1;0;0.212765957;1
1468;0;0;0;1;1;0;0;1;0;1;0;0.115763547;0;0;0.083333333;0;1;0;0;1;0;0;0;0.25;0;0;0;0;0;0;0;0.5;0;0.333333333;0.333333333;0;0.4;0.2;0;0.428571429;0;0;0.333333333;1;0;0.70212766;1
1506;0;0;0;1;0;0;1;1;1;0;0;0.115763547;0;0;0.133333333;0;1;0;0;1;0;0;0;0.5;0;0;0;0;0;0;0;0.25;0;0.333333333;0;0.25;0.4;0;0;0.142857143;0;0;1;1;0;0.276595745;1
1507;0;0;0;1;1;0;0;1;0;1;0;0.056650246;0.227272727;0;0.077777778;0;1;0;0;1;0;0;0;0.25;0;0;0;0;0;0;0;0;0.333333333;0;0;0.25;0.2;0;0;0.285714286;0;0;0.5;1;0;0.489361702;1
1602;0;0;0;1;0;1;0;0;1;1;0;0.041871921;0.045454545;0;0.2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0.75;0;0;1;0;0;1;0;0.714285714;0;0;0.166666667;1;0;0.14893617;1
1644;0;0;0;1;0;1;0;1;0;1;0;0.5;0;0;0.002777778;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0.212765957;1
1653;0;0;0;1;0;1;0;1;1;0;0;0.100985222;0.022727273;0;0.1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166666667;1;0;0.638297872;1
1730;0;0;0;1;0;1;0;1;0;1;0;0.52955665;0;0;0.008333333;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.25;0.333333333;0;0;0.25;0;0;0;0.142857143;0;0;0.333333333;0;0;0.191489362;1
1922;0;0;0;1;0;0;1;1;1;0;0;0.352216749;0;0.833333333;0.433333333;0.470588235;1;0;0;1;0;0;0.5;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166666667;1;1;0.468085106;1
2003;0;0.512146753;0.5;1;0;0;1;1;1;0;0;0.174876847;0;0.777777778;0.033333333;0.117647059;1;0;0;1;0;0;0.5;0.5;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166666667;1;1;0.255319149;1
2027;0;0;0;1;1;0;0;0;1;1;0;0.295566502;0;0.555555556;0.086111111;0;1;0;0;1;0;0;0.5;0;1;1;1;1;1;0;0;0.75;0.333333333;0.333333333;0.333333333;0.75;0.6;0.2;0;0.428571429;0;0;0.333333333;1;1;0;1
2066;0;0;0;1;1;0;0;1;0;0;1;0.088669951;0.003787879;0;0.1;0;1;0;0;1;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0.333333333;0;0;0.2;0;0.142857143;0;0;0.166666667;1;0;0.510638298;1
2152;0;0.076351016;0.5;1;0;0;1;1;0;1;0;0.027093596;0.109848485;0.833333333;0.058333333;0.176470588;1;0;0;1;0;0;0.5;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333;1;1;0.14893617;1
2179;0;0;0;1;0;0;1;1;0;1;0;0.118226601;0.003787879;0;0.402777778;0;1;0;0;1;0;0;0;0.5;0;0;0;0;0;0;0;0;0.333333333;0;0;0.25;0;0;0;0.142857143;0;0;0.333333333;1;0;0.212765957;1
2242;0;0;0;1;0;0;1;1;0;1;0;0.012315271;0.136363636;0;0.002777778;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0.25;0.5;0.5;1;0;0;0.75;0;0;0;0.428571429;0;0;0.5;1;0;0.723404255;1
2269;0;0;0;1;1;0;0;1;0;1;0;0.012315271;0.090909091;0;0.016666667;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0.5;0.25;0;0.333333333;0;0;0.4;0;0;0.142857143;0;0;0.166666667;1;0;0.191489362;1
2323;0;0;0;1;0;1;0;1;0;1;0;0.027093596;0.363636364;0;0.116666667;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0.25;1;0.5;0;0;0.666666667;0;0;0.4;0;0.285714286;0;0;0.166666667;1;0;0.489361702;1
2346;1;1;0.5;1;1;0;0;1;1;0;0;0;0.090909091;0;0.166666667;0;1;0;0;1;0;0;0;0.5;0;0;0;0;0;0.25;1;0.75;0;0;1;0.25;0;0.6;0;0.428571429;0;0;0.5;1;0;0.29787234;1
2396;0;0;0;1;1;0;0;1;1;0;0;0.041871921;0.458333333;0;0.183333333;0;1;0;0;1;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0.333333333;0;0;0.2;0;0.142857143;0;0;0.5;1;0;0.255319149;1
2429;0;0;0;1;0;0;1;1;0;0;1;0.130541872;0.022727273;0;0.261111111;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0.333333333;0;0;0.4;0;0.142857143;0;0;0.166666667;1;0;0.425531915;1
2557;0;0;0;1;0;0;1;1;1;0;0;0.115763547;0;0;0.008333333;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0.5;0.5;0.333333333;0;0;0.25;0;0;0;0.285714286;0;0;0.333333333;1;0;0.404255319;1
2574;0;0;0;1;0;1;0;1;0;0;1;0.532019704;0.003787879;0;0.016666667;0;1;0;0;1;0;0;0;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0.425531915;1
2600;0;0;0;1;1;0;0;1;1;0;0;0.019704433;0.193181818;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;1;0;1;1
2879;0;0;0;1;0;0;1;1;0;0;1;0.115763547;0.227272727;0.555555556;0.066666667;0.588235294;0;1;0;0;1;0;1;0.5;0;0;1;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0.333333333;1;1;0.29787234;1
2884;0;0;0.5;1;1;0;0;1;0;0;1;0.115763547;0;0;0.233333333;0;1;0;0;1;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166666667;1;0;0.425531915;1
2903;0;0;0;1;0;1;0;1;0;1;0;0.039408867;0.140151515;0;0.033333333;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333;1;0;0.106382979;1
2946;0;0;0;1;0;0;1;1;0;1;0;0.064039409;0.136363636;0.833333333;0.036111111;0.411764706;1;0;0;1;0;0;0.5;0;0;0;1;0;0;0;0.5;0.25;0;0;0.333333333;0;0;0.2;0;0.142857143;0;0;0.5;1;1;0.234042553;1
2999;0;1;0.5;1;0;0;1;1;1;0;0;0.02955665;0.454545455;0;0.333333333;0;1;0;0;1;0;0;0;0.25;0;0;0;0;0;0;1;0.75;0.333333333;0.333333333;0;0.5;0.2;0;0;0.428571429;0;0;0.666666667;1;0;0.510638298;1
3040;0;0;0;1;1;0;0;1;0;1;0;0.027093596;0.090909091;0;0.016666667;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5;1;0;0.234042553;1
3058;0;0.346554289;0.5;1;0;0;1;1;1;0;0;0.056650246;0.363636364;0;0.194444444;0;1;0;0;1;0;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333;1;0;0.106382979;1
3083;0;0;0;1;0;1;0;1;0;1;0;0;0.863636364;0;0.102777778;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333;1;0;0.127659574;1
3122;0;0;0;1;0;0;1;1;0;0;1;0.564039409;0;0.5;0.211111111;1;0;1;0;1;0;0;0.5;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166666667;1;1;0.765957447;1
3176;0;0;0;1;0;0;1;1;1;0;0;0.007389163;0.068181818;0.111111111;0.105555556;0.176470588;0;1;0;0;1;0;0.5;0.25;1;1;1;1;1;0;0;0.5;0;0.333333333;0.666666667;0.25;0.6;1;0;0.428571429;0;0;0.5;1;1;0.255319149;1
3364;0;0;0;1;1;0;0;1;1;0;0;0.014778325;0.045454545;0;0;0;1;0;0;1;0;0;0;0.25;0;0;0;0;0;0;0;0.25;0.333333333;0;0.333333333;0.25;0;0.4;0;0.285714286;0;0;0;1;0;0.170212766;1
3380;0;0;0;1;0;1;0;0;1;1;0;0.5591133;0;0;0.016666667;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333;0.333333333;0;0.2;0.2;0;0.285714286;0;0;0.5;1;0;0;1
3418;0;1;1;1;0;0;1;1;1;0;0;0.647783251;0;0;0.2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0.333333333;0.25;0.2;0.2;0;0.142857143;0;0;0.5;1;0;0.106382979;1
3520;0;0;0;1;0;0;1;1;0;1;0;0.002463054;0.090909091;0;0.133333333;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.25;0;0.333333333;0;0;0.2;0.2;0;0.142857143;0;0;0.5;1;0;0.063829787;1
3557;0;0;0;1;1;0;0;1;0;0;1;0.056650246;0.022727273;0;0.1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.833333333;1;0;0.212765957;1
3587;0;0;0;1;1;0;0;1;1;0;0;0.088669951;0.003787879;0;0.036111111;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.142857143;0;0;0.333333333;1;0;0.170212766;1
3613;0;0;0;1;0;0;1;1;0;1;0;0.174876847;0;0;0.4;0;0;1;0;1;0;0;0;0.5;0;0;0;0;0;0;0;0.25;0;0.333333333;0;0;0.2;0.2;0;0.142857143;0;0;0.166666667;1;0;0.319148936;1
3709;0;1;0.5;1;0;0;1;1;0;1;0;0.056650246;0.003787879;0.555555556;0.033333333;0.117647059;1;0;0;1;0;0;1;0.25;1;1;1;1;1;0.25;1;1;0;1;0;1;1;0;0;0.857142857;0;0;0.166666667;1;1;0.276595745;1
3802;0;0;0;1;1;0;0;1;1;0;0;0.322660099;0;0;0.533333333;0;0;1;0;1;0;0;0;0.75;0;0;0;0;0;0;0;0.5;0;0;0.666666667;0;0;0.8;0;0.285714286;0;0;0.166666667;1;0;0.510638298;1
3814;0;0;0;1;1;0;0;1;0;1;0;0;0.090909091;0;0.066666667;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;1;0;0.489361702;1
3841;0;0;0;1;1;0;0;1;0;0;1;0.47044335;0;0;0.366666667;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333;1;0;0.808510638;1
3893;0;0;0;1;0;0;1;1;0;1;0;0.041871921;0.227272727;0;0.05;0;1;0;0;1;0;0;0;0.5;0;0;0;0;0;0;0.5;0.5;0;0.666666667;0;0;0.4;0;0;0.428571429;0;0;0.5;1;0;0.340425532;1
4004;0;0;0;1;1;0;0;1;1;0;0;0.115763547;0;0;0.122222222;0;0;1;0;1;0;0;0;0.5;0;0;0;0;0;0;0;0.25;0;0;0.333333333;0;0;0.2;0;0.142857143;0;0;0.333333333;1;0;0.574468085;1
4128;0;0;0;1;0;0;1;1;1;0;0;0.024630542;0.136363636;0;0.2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0;0;0;0;0;0.142857143;0;0;0.5;1;0;0.106382979;1
4134;0;0;0;1;0;0;1;1;0;1;0;0.233990148;0.003787879;0.833333333;0.166666667;0;1;0;0;1;0;0;0.5;1;1;1;1;1;1;0;0;0;0;0.333333333;0;0.25;0.6;0;0;0.142857143;0;0;0.166666667;1;1;0.29787234;1
4250;0;0;0;1;1;0;0;1;1;0;0;0.022167488;0.022727273;0;0.033333333;0;0;1;0;1;0;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166666667;1;0;0.361702128;1
4322;0;0;0;1;1;0;0;1;0;0;1;0.194581281;0;0;0.1;0;1;0;0;1;0;0;0;0.75;0;0;0;0;0;0;0.5;0.25;0.333333333;0;0;0.25;0;0.2;0;0.142857143;0;0;0.333333333;1;0;0.29787234;1
4344;0;0;0;1;1;0;0;1;1;0;0;0.115763547;0;0;0.016666667;0;1;0;0;1;0;0;0;0.25;0;0;0;0;0;0.25;0.5;0.25;0.333333333;0;0;0.5;0;0;0;0.142857143;0;0;0.166666667;1;0;0.276595745;1
4357;0;0;0;1;1;0;0;1;1;0;0;0.588669951;0;0;0.266666667;0;0;1;0;1;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333;1;0;0.531914894;1
4497;0;0;0.5;1;0;0;1;1;1;0;0;0.012315271;0.045454545;0.555555556;0.083333333;0.470588235;1;0;0;1;0;0;0.5;0.25;0;0;1;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0.833333333;1;1;0.085106383;1
4524;0;0;0;1;1;0;0;1;1;0;0;0.4408867;0;0;0.108333333;0;0;1;0;1;0;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166666667;1;0;0.425531915;1
4545;0;0;0;1;0;0;1;1;0;0;1;0.115763547;0;0;0.333333333;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166666667;1;0;0.29787234;1
4587;0;0;0;1;0;0;1;1;1;0;0;0.056650246;0.136363636;0.833333333;0.6;0.470588235;1;0;0;1;0;0;0.5;0.5;1;1;1;1;1;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0.333333333;1;1;0.595744681;1
4623;0;0;0;1;1;0;0;1;0;0;1;0.056650246;0.227272727;0;0.133333333;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333;0.666666667;0;0.2;0.4;0;0.571428571;0;0;0.166666667;1;0;0.106382979;1
4708;0;0;0;1;1;0;0;1;0;1;0;0.416256158;0;0.833333333;0.144444444;1;1;0;0;1;0;0;0;0;1;1;1;1;1;0;0.5;0.25;0.333333333;0;0;0.25;0;0;0;0.142857143;0;0;0.166666667;1;1;0.382978723;1
4718;0;0;0;1;0;0;1;1;0;1;0;0.027093596;0.068181818;0;0.033333333;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.75;0.666666667;0.666666667;0.333333333;1;0.6;0.2;0;1;0;0;0.166666667;1;0;0.042553191;1
4797;0;0;0;1;0;0;1;1;0;1;0;0.004926108;0.454545455;0;0.002777778;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0.5;0.25;0;0;0;0;0;0.2;0;0.142857143;0;0;0.5;1;0;0.085106383;1
4929;0;0;0;1;1;0;0;1;1;0;0;0.118226601;0.003787879;0;0.025;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.25;0.333333333;0;0;0.25;0;0;0;0.142857143;0;0;0.166666667;1;0;0.191489362;1
4949;0;0;0;1;0;0;1;1;0;1;0;0;0.113636364;0.777777778;0.1;0;1;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0.25;0.333333333;0;0;0.25;0;0;0;0.142857143;0;0;0.5;1;1;0.319148936;1
4996;0;0;0;1;1;0;0;1;1;0;0;0.027093596;0.045454545;0;0.033333333;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0.5;0.25;0;0;0.333333333;0;0;1;0;0.142857143;0;0;0.166666667;1;0;0.276595745;1
5033;0;0;0.5;1;1;0;0;1;1;0;0;0.52955665;0;0;0.233333333;0;0;1;0;1;0;0;0;0.75;0;0;0;0;0;0;0;0;0.333333333;0;0;0.25;0;0;0;0.142857143;0;0;0.333333333;1;0;0.531914894;1
5036;0;0;0;1;0;1;0;1;0;1;0;0.012315271;0.045454545;0;0.066666667;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166666667;1;0;0.191489362;1
5090;1;0.318790283;0.5;1;0;0;1;1;1;0;0;0.209359606;0.007575758;0;0.402777778;0;1;0;0;1;0;0;0;0.5;0;0;0;0;0;0.25;1;0.75;0;0;1;0;0.2;0.6;0;0.428571429;0;0;0.833333333;1;0;0.319148936;1
5118;0;0;0;1;1;0;0;1;1;0;0;0.027093596;0.045454545;0;0.133333333;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.833333333;1;0;0.14893617;1
5150;0;0;0;1;1;0;0;1;1;0;0;0.041871921;0.022727273;0;0.022222222;0;1;0;0;1;0;0;0;0.75;0;0;0;0;0;0;0;0;0;0.333333333;0.333333333;0.25;0.2;0.4;0;0.285714286;0;0;0.5;1;0;0.191489362;1
5329;0;0;0;1;0;1;0;1;0;0;1;0.5;0;0;0.4;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166666667;1;0;0.723404255;1
5336;0;0;0;1;1;0;0;0;1;1;0;0.647783251;0;0.833333333;0.016666667;0.352941176;1;0;0;1;0;0;0;0;1;1;1;1;1;0;0.5;0.25;0;0;0.333333333;0;0;0.2;0;0.142857143;0;0;0.333333333;1;1;0.063829787;1
5402;0;0;0.5;1;1;0;0;1;1;0;0;0.174876847;0;0;0.066666667;0;0;1;0;1;0;0;0;0.25;0;0;0;0;0;0.25;0.5;0.25;0;0;0.333333333;0;0;0.2;0;0.142857143;0;0;0.333333333;1;0;0.276595745;1
5437;0;0;0;1;1;0;0;1;1;0;0;0.064039409;0.227272727;0;0.072222222;0;1;0;0;1;0;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0.666666667;1;0;0.29787234;1
5455;0;0;0;1;0;0;1;1;0;1;0;0.019704433;0.068181818;0;0.066666667;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0.4;0;0;0.142857143;0;0;0.166666667;1;0;0.127659574;1
5492;0;0;0.5;1;0;0;1;1;0;1;0;0.014778325;0.136363636;0.277777778;0.013888889;0.647058824;1;0;0;1;0;0;0.5;0;0;0;0;1;0;0;0;0;0.333333333;0;0;0.25;0;0;0;0.142857143;0;0;0.5;1;1;0.212765957;1
5692;0;0;0;1;1;0;0;1;0;1;0;0;0.102272727;0;0.002777778;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333;0;0;0.744680851;1
5713;0;0;0;1;1;0;0;1;1;0;0;0.071428571;0.090909091;0;0.083333333;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0.5;1;0.75;0.333333333;0;0.666666667;0.25;0;0.4;0;0.571428571;0;0;0.666666667;1;0;0.212765957;1
5732;0;0;0;1;1;0;0;1;1;0;0;0.263546798;0;0;0.7;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166666667;1;0;0.595744681;1
5745;0;0;0;1;1;0;0;1;1;0;0;0.263546798;0;0;0.266666667;0;1;0;0;1;0;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166666667;1;0;0.489361702;1
